,medicine,f1-score,precision,recall,TP,FP,TN,FN
0,桂枝,0.9696969696969696,0.9961089494163424,0.9446494464944649,256,1,365,15
1,柴胡,0.9804878048780488,0.9804878048780488,0.9804878048780488,201,4,428,4
2,黃芩,0.9900990099009901,0.9920634920634921,0.9881422924901185,250,2,382,3
3,茯苓,0.9686746987951806,0.9710144927536232,0.9663461538461539,201,6,423,7
4,澤瀉,0.9755011135857461,0.9820627802690582,0.9690265486725663,219,4,407,7
5,附子,0.9775280898876405,0.981203007518797,0.9738805970149254,261,5,364,7
6,甘草,0.96875,0.9941690962099126,0.9445983379501385,341,2,274,20
7,當歸,0.9904761904761905,0.9952153110047847,0.985781990521327,208,1,425,3
8,白芍,0.9765990639625585,0.9936507936507937,0.9601226993865031,313,2,309,13
9,炙甘草,0.9689608636977058,0.9972222222222222,0.9422572178477691,359,1,255,22
10,overall,0.9758743220497474,0.9893818733409178,0.962730627306273,2609,28,3632,101
