,medicine,f1-score,precision,recall,TP,FP,TN,FN
0,麻黃,0.9230769230769231,0.9026548672566371,0.9444444444444444,102,11,518,6
1,桂枝,0.9721706864564007,0.9776119402985075,0.966789667896679,262,6,360,9
2,細辛,0.9752066115702478,0.9833333333333333,0.9672131147540983,177,3,451,6
3,生薑,0.9502762430939227,0.9555555555555556,0.945054945054945,172,8,447,10
4,柴胡,0.9782082324455206,0.9711538461538461,0.9853658536585366,202,6,426,3
5,石膏,0.9257142857142856,0.8901098901098901,0.9642857142857143,81,10,543,3
6,知母,0.9488372093023255,0.918918918918919,0.9807692307692307,102,9,524,2
7,黃連,0.9788732394366197,0.9652777777777778,0.9928571428571429,139,5,492,1
8,黃芩,0.9900990099009901,0.9920634920634921,0.9881422924901185,250,2,382,3
9,龍膽草,0.9647058823529412,0.9534883720930233,0.9761904761904762,82,4,549,2
10,大黃,0.9506726457399103,0.9464285714285714,0.954954954954955,106,6,520,5
11,茯苓,0.970873786407767,0.9803921568627451,0.9615384615384616,200,4,425,8
12,澤瀉,0.9775784753363229,0.990909090909091,0.9646017699115044,218,2,409,8
13,乾薑,0.9818181818181817,0.9782608695652174,0.9854014598540146,135,3,497,2
14,附子,0.975609756097561,0.9811320754716981,0.9701492537313433,260,5,364,8
15,枳實,0.9837837837837838,1.0,0.9680851063829787,91,0,543,3
16,烏藥,0.9940119760479043,1.0,0.9880952380952381,83,0,553,1
17,厚朴,0.9523809523809523,0.9473684210526315,0.9574468085106383,90,5,538,4
18,茜草,0.989795918367347,1.0,0.9797979797979798,97,0,538,2
19,川芎,0.9141274238227147,0.8776595744680851,0.953757225433526,165,23,441,8
20,鬱金,0.9424083769633509,0.9,0.989010989010989,90,10,536,1
21,半夏,0.9056603773584905,0.8674698795180723,0.9473684210526315,144,22,463,8
22,牡蠣,0.907488986784141,0.8728813559322034,0.944954128440367,103,15,513,6
23,白朮,0.8503937007874016,0.7980295566502463,0.9101123595505618,162,41,418,16
24,大棗,0.7630922693266833,0.6428571428571429,0.9386503067484663,153,85,389,10
25,甘草,0.9228529839883551,0.9723926380368099,0.8781163434903048,317,9,267,44
26,補骨脂,0.8554913294797688,0.7789473684210526,0.9487179487179487,148,42,439,8
27,當歸,0.8758465011286681,0.8362068965517241,0.919431279620853,194,38,388,17
28,白芍,0.8846761453396526,0.9120521172638436,0.8588957055214724,280,27,284,46
29,阿膠,0.8210526315789474,0.7289719626168224,0.9397590361445783,78,29,525,5
30,炙甘草,0.8973277074542898,0.9666666666666667,0.8372703412073491,319,11,245,62
31,overall,0.9295669949823453,0.9189785045011942,0.9404023312652754,5002,441,13987,317
