,medicine,f1-score,precision,recall,TP,FP,TN,FN
0,桂枝,0.9716446124763705,0.9961240310077519,0.948339483394834,257,1,365,14
1,柴胡,0.973621103117506,0.9575471698113207,0.9902439024390244,203,9,423,2
2,黃芩,0.9900596421471173,0.996,0.9841897233201581,249,1,383,4
3,茯苓,0.9686746987951806,0.9710144927536232,0.9663461538461539,201,6,423,7
4,澤瀉,0.9775784753363229,0.990909090909091,0.9646017699115044,218,2,409,8
5,附子,0.9774436090225564,0.9848484848484849,0.9701492537313433,260,4,365,8
6,甘草,0.9686609686609687,0.9970674486803519,0.9418282548476454,340,1,275,21
7,當歸,0.9904761904761905,0.9952153110047847,0.985781990521327,208,1,425,3
8,白芍,0.9765258215962441,0.9968051118210862,0.9570552147239264,312,1,310,14
9,炙甘草,0.9689608636977058,0.9972222222222222,0.9422572178477691,359,1,255,22
10,overall,0.9756736526946107,0.989749430523918,0.9619926199261992,2607,27,3633,103
