,medicine,f1-score,precision,recall,TP,FP,TN,FN
0,桂枝,0.9686924493554329,0.9669117647058824,0.9704797047970479,263,9,357,8
1,柴胡,0.9411764705882354,0.989247311827957,0.8975609756097561,184,2,430,21
2,黃芩,0.8791208791208791,0.9900990099009901,0.7905138339920948,200,2,382,53
3,茯苓,0.3622047244094488,1.0,0.22115384615384615,46,0,429,162
4,澤瀉,0.7409470752089136,1.0,0.588495575221239,133,0,411,93
5,附子,0.0,0.0,0.0,0,0,369,268
6,甘草,0.7234468937875752,0.5667189952904239,1.0,361,276,0,0
7,當歸,0.5035460992907801,1.0,0.33649289099526064,71,0,426,140
8,白芍,0.7925925925925926,1.0,0.656441717791411,214,0,311,112
9,炙甘草,0.8506787330316742,1.0,0.7401574803149606,282,0,256,99
10,overall,0.7380601725226174,0.8585413607440039,0.6472324723247233,1754,289,3371,956
