,medicine,f1-score,precision,recall,TP,FP,TN,FN
0,麻黃,0.937799043062201,0.9702970297029703,0.9074074074074074,98,3,526,10
1,桂枝,0.9704797047970479,0.9704797047970479,0.9704797047970479,263,8,358,8
2,細辛,0.9776536312849162,1.0,0.9562841530054644,175,0,454,8
3,生薑,0.9515669515669516,0.9881656804733728,0.9175824175824175,167,2,453,15
4,柴胡,0.9826302729528535,1.0,0.9658536585365853,198,0,432,7
5,石膏,0.9565217391304348,1.0,0.9166666666666666,77,0,553,7
6,知母,0.970873786407767,0.9803921568627451,0.9615384615384616,100,2,531,4
7,黃連,0.9891696750902527,1.0,0.9785714285714285,137,0,497,3
8,黃芩,0.9900199600798403,1.0,0.9802371541501976,248,0,384,5
9,龍膽草,0.975609756097561,1.0,0.9523809523809523,80,0,553,4
10,大黃,0.9528301886792453,1.0,0.9099099099099099,101,0,526,10
11,茯苓,0.9705882352941176,0.99,0.9519230769230769,198,2,427,10
12,澤瀉,0.9773755656108597,1.0,0.9557522123893806,216,0,411,10
13,乾薑,0.9851851851851852,1.0,0.9708029197080292,133,0,500,4
14,附子,0.9753320683111955,0.9922779922779923,0.9589552238805971,257,2,367,11
15,枳實,0.9837837837837838,1.0,0.9680851063829787,91,0,543,3
16,烏藥,0.9940119760479043,1.0,0.9880952380952381,83,0,553,1
17,厚朴,0.9617486338797814,0.9887640449438202,0.9361702127659575,88,1,542,6
18,茜草,0.9949238578680203,1.0,0.98989898989899,98,0,538,1
19,川芎,0.9677419354838709,0.9821428571428571,0.953757225433526,165,3,461,8
20,鬱金,0.9832402234636871,1.0,0.967032967032967,88,0,546,3
21,半夏,0.9627118644067797,0.993006993006993,0.9342105263157895,142,1,484,10
22,牡蠣,0.9719626168224299,0.9904761904761905,0.9541284403669725,104,1,527,5
23,白朮,0.9565217391304348,0.9880239520958084,0.9269662921348315,165,2,457,13
24,大棗,0.9460317460317461,0.9802631578947368,0.9141104294478528,149,3,471,14
25,甘草,0.9688385269121814,0.991304347826087,0.9473684210526315,342,3,273,19
26,補骨脂,0.9935483870967742,1.0,0.9871794871794872,154,0,481,2
27,當歸,0.9904761904761905,0.9952153110047847,0.985781990521327,208,1,425,3
28,白芍,0.9750778816199377,0.990506329113924,0.9601226993865031,313,3,308,13
29,阿膠,0.9693251533742331,0.9875,0.9518072289156626,79,1,553,4
30,炙甘草,0.9690444145356663,0.994475138121547,0.9448818897637795,360,2,254,21
31,overall,0.9729781525488693,0.9921829196794997,0.9545027260763301,5077,40,14388,242
