,medicine,f1-score,precision,recall,TP,FP,TN,FN
0,桂枝,0.9409722222222222,0.8885245901639345,1.0,271,34,332,0
1,柴胡,0.9826302729528535,1.0,0.9658536585365853,198,0,432,7
2,黃芩,0.9900990099009901,0.9920634920634921,0.9881422924901185,250,2,382,3
3,茯苓,0.9705882352941176,0.99,0.9519230769230769,198,2,427,10
4,澤瀉,0.9773755656108597,1.0,0.9557522123893806,216,0,411,10
5,附子,0.9770992366412213,1.0,0.9552238805970149,256,0,369,12
6,甘草,0.9691011235955055,0.9829059829059829,0.9556786703601108,345,6,270,16
7,當歸,0.9904306220095694,1.0,0.981042654028436,207,0,426,4
8,白芍,0.9765990639625585,0.9936507936507937,0.9601226993865031,313,2,309,13
9,炙甘草,0.9690444145356663,0.994475138121547,0.9448818897637795,360,2,254,21
10,overall,0.9731943410275503,0.9819684447783621,0.9645756457564576,2614,48,3612,96
