,medicine,f1-score,precision,recall,TP,FP,TN,FN
0,桂枝,0.9704797047970479,0.9704797047970479,0.9704797047970479,263,8,358,8
1,柴胡,0.9826302729528535,1.0,0.9658536585365853,198,0,432,7
2,黃芩,0.9900990099009901,0.9920634920634921,0.9881422924901185,250,2,382,3
3,茯苓,0.9705882352941176,0.99,0.9519230769230769,198,2,427,10
4,澤瀉,0.9775784753363229,0.990909090909091,0.9646017699115044,218,2,409,8
5,附子,0.9774436090225564,0.9848484848484849,0.9701492537313433,260,4,365,8
6,甘草,0.9690140845070422,0.9856733524355301,0.9529085872576177,344,5,271,17
7,當歸,0.9904761904761905,0.9952153110047847,0.985781990521327,208,1,425,3
8,白芍,0.9766718506998445,0.9905362776025236,0.9631901840490797,314,3,308,12
9,炙甘草,0.9654289372599231,0.9425,0.989501312335958,377,23,233,4
10,overall,0.9758812615955472,0.9813432835820896,0.9704797047970479,2630,50,3610,80
