,medicine,f1-score,precision,recall,TP,FP,TN,FN
0,桂枝,0.9696969696969696,0.9961089494163424,0.9446494464944649,256,1,365,15
1,柴胡,0.9828009828009828,0.9900990099009901,0.975609756097561,200,2,430,5
2,黃芩,0.9900990099009901,0.9920634920634921,0.9881422924901185,250,2,382,3
3,茯苓,0.9686746987951806,0.9710144927536232,0.9663461538461539,201,6,423,7
4,澤瀉,0.9775784753363229,0.990909090909091,0.9646017699115044,218,2,409,8
5,附子,0.9757914338919925,0.9739776951672863,0.9776119402985075,262,7,362,6
6,甘草,0.9689265536723164,0.9884726224783862,0.9501385041551247,343,4,272,18
7,當歸,0.9904761904761905,0.9952153110047847,0.985781990521327,208,1,425,3
8,白芍,0.9765258215962441,0.9968051118210862,0.9570552147239264,312,1,310,14
9,炙甘草,0.9674796747967479,1.0,0.937007874015748,357,0,256,24
10,overall,0.9758562605277933,0.9901253323205469,0.9619926199261992,2607,26,3634,103
