,medicine,f1-score,precision,recall,TP,FP,TN,FN
0,麻黃,0.9365853658536585,0.9896907216494846,0.8888888888888888,96,1,528,12
1,桂枝,0.9721706864564007,0.9776119402985075,0.966789667896679,262,6,360,9
2,細辛,0.9776536312849162,1.0,0.9562841530054644,175,0,454,8
3,生薑,0.9523809523809523,0.9714285714285714,0.9340659340659341,170,5,450,12
4,柴胡,0.9828009828009828,0.9900990099009901,0.975609756097561,200,2,430,5
5,石膏,0.9570552147239264,0.9873417721518988,0.9285714285714286,78,1,552,6
6,知母,0.9705882352941176,0.99,0.9519230769230769,99,1,532,5
7,黃連,0.9891696750902527,1.0,0.9785714285714285,137,0,497,3
8,黃芩,0.9900199600798403,1.0,0.9802371541501976,248,0,384,5
9,龍膽草,0.975609756097561,1.0,0.9523809523809523,80,0,553,4
10,大黃,0.962962962962963,0.9904761904761905,0.9369369369369369,104,1,525,7
11,茯苓,0.970873786407767,0.9803921568627451,0.9615384615384616,200,4,425,8
12,澤瀉,0.9775784753363229,0.990909090909091,0.9646017699115044,218,2,409,8
13,乾薑,0.9851851851851852,1.0,0.9708029197080292,133,0,500,4
14,附子,0.9770992366412213,1.0,0.9552238805970149,256,0,369,12
15,枳實,0.9837837837837838,1.0,0.9680851063829787,91,0,543,3
16,烏藥,0.9879518072289156,1.0,0.9761904761904762,82,0,553,2
17,厚朴,0.9513513513513513,0.967032967032967,0.9361702127659575,88,3,540,6
18,茜草,0.98989898989899,0.98989898989899,0.98989898989899,98,1,537,1
19,川芎,0.9590643274853801,0.9704142011834319,0.9479768786127167,164,5,459,9
20,鬱金,0.9398907103825138,0.9347826086956522,0.945054945054945,86,6,540,5
21,半夏,0.9209621993127147,0.9640287769784173,0.881578947368421,134,5,480,18
22,牡蠣,0.9194312796208531,0.9509803921568627,0.8899082568807339,97,5,523,12
23,白朮,0.9204545454545454,0.9310344827586207,0.9101123595505618,162,12,447,16
24,大棗,0.8258064516129032,0.8707482993197279,0.7852760736196319,128,19,455,35
25,甘草,0.9029535864978903,0.9171428571428571,0.889196675900277,321,29,247,40
26,補骨脂,0.8441558441558442,0.8552631578947368,0.8333333333333334,130,22,459,26
27,當歸,0.8731707317073171,0.8994974874371859,0.8483412322274881,179,20,406,32
28,白芍,0.890282131661442,0.9102564102564102,0.8711656441717791,284,28,283,42
29,阿膠,0.8311688311688312,0.9014084507042254,0.7710843373493976,64,7,547,19
30,炙甘草,0.8602150537634409,0.8815426997245179,0.8398950131233596,320,43,213,61
31,overall,0.9364394593039977,0.9553990610328639,0.9182177100958827,4884,228,14200,435
