,medicine,f1-score,precision,recall,TP,FP,TN,FN
0,桂枝,0.9716446124763705,0.9961240310077519,0.948339483394834,257,1,365,14
1,柴胡,0.9826302729528535,1.0,0.9658536585365853,198,0,432,7
2,黃芩,0.9900199600798403,1.0,0.9802371541501976,248,0,384,5
3,茯苓,0.9705882352941176,0.99,0.9519230769230769,198,2,427,10
4,澤瀉,0.9773755656108597,1.0,0.9557522123893806,216,0,411,10
5,附子,0.9771863117870723,0.9961240310077519,0.9589552238805971,257,1,368,11
6,甘草,0.96875,0.9941690962099126,0.9445983379501385,341,2,274,20
7,當歸,0.9904761904761905,0.9952153110047847,0.985781990521327,208,1,425,3
8,白芍,0.9765258215962441,0.9968051118210862,0.9570552147239264,312,1,310,14
9,炙甘草,0.9689608636977058,0.9972222222222222,0.9422572178477691,359,1,255,22
10,overall,0.976472802559759,0.996542451018056,0.9571955719557196,2594,9,3651,116
