,medicine,f1-score,precision,recall,TP,FP,TN,FN
91,白芍,0.9734789391575663,0.9904761904761905,0.9570552147239264,312,3,308,14
92,阿膠,0.9689440993788819,1.0,0.9397590361445783,78,0,554,5
93,西洋參,0.5714285714285715,1.0,0.4,2,0,632,3
94,龜板,0.9090909090909091,0.8928571428571429,0.9259259259259259,25,3,607,2
95,鱉甲,0.9714285714285714,1.0,0.9444444444444444,34,0,601,2
96,山茱萸,0.8,1.0,0.6666666666666666,8,0,625,4
97,覆盆子,0.0,0.0,0.0,0,0,630,7
98,五味子,0.9777777777777777,1.0,0.9565217391304348,22,0,614,1
99,烏梅,0.8750000000000001,1.0,0.7777777777777778,7,0,628,2
100,五倍子,1.0,1.0,1.0,10,0,627,0
101,炙甘草,0.9590488771466313,0.9654255319148937,0.952755905511811,363,13,243,18
102,overall,0.9640740469744641,0.9875580872432919,0.9416809605488851,6588,83,57895,408
